"","69","lyon","LYON 8E ARRONDISSEMENT","lyon 8e arrondissement","Lyon 8e Arrondissement","L500","LYN","69008","388","69388","1","99","2","484344","445274","474900","10117","47.87","4.84139","45.7589","2783","50843","+45029","454532","162","312"
"","69","lyon","LYON 9E ARRONDISSEMENT","lyon 9e arrondissement","Lyon 9e Arrondissement","L500","LYN","69009","389","69389","1","99","2","484344","445274","474900","10117","47.87","4.84139","45.7589","2783","50843","+45029","454532","162","312"
"","75","paris","PARIS 1ER ARRONDISSEMENT","paris 1er arrondissement","Paris 1er Arrondissement","P620","PRS","75001","101","75101","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 2E ARRONDISSEMENT","paris 2e arrondissement","Paris 2e Arrondissement","P620","PRS","75002","102","75102","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 3E ARRONDISSEMENT","paris 3e arrondissement","Paris 3e Arrondissement","P620","PRS","75003","103","75103","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 4E ARRONDISSEMENT","paris 4e arrondissement","Paris 4e Arrondissement","P620","PRS","75004","104","75104","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 5E ARRONDISSEMENT","paris 5e arrondissement","Paris 5e Arrondissement","P620","PRS","75005","105","75105","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 6E ARRONDISSEMENT","paris 6e arrondissement","Paris 6e Arrondissement","P620","PRS","75006","106","75106","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 7E ARRONDISSEMENT","paris 7e arrondissement","Paris 7e Arrondissement","P620","PRS","75007","107","75107","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 8E ARRONDISSEMENT","paris 8e arrondissement","Paris 8e Arrondissement","P620","PRS","75008","108","75108","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 9E ARRONDISSEMENT","paris 9e arrondissement","Paris 9e Arrondissement","P620","PRS","75009","109","75109","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
"","75","paris","PARIS 10E ARRONDISSEMENT","paris 10e arrondissement","Paris 10e Arrondissement","P620","PRS","75010","110","75110","1","99","1","2243833","2125851","2211000","21288","105.4","2.34445","48.86","9","54289","+22040","485136","0","0"
